true_label,url,predicted,confidence,correct
phishing,https://l.ead.me/bfRohL,legitimate,0.984,False
phishing,https://l.ead.me/bfFC6R,legitimate,0.738,False
phishing,https://storage.googleapis.com/newsupdate/my-parcels.html#aj705zr26d432.shtml?customer_id=kh863ed3g1290-gj392xh3wt24e-aj705zr26d432,phishing,1.0,True
phishing,https://pichinchaapro.webcindario.com/,legitimate,0.707,False
phishing,https://l.ead.me/bfbPJV,legitimate,0.984,False
phishing,https://02d772vb82.webcindario.com/worldwide/creditoption/,phishing,0.962,True
phishing,https://tr.ee/rk7JHq,phishing,0.998,True
phishing,https://bradesco.contaprotegida.com,legitimate,0.583,False
phishing,https://l.ead.me/bfcAbl,legitimate,0.984,False
phishing,https://shandongjushi.com/?type=verify&amp;key=nlvcfwjqtd,phishing,0.99,True
phishing,http://allegro-lokalnie.pl-83012.sbs/,phishing,0.998,True
phishing,https://l.ead.me/coorreeos,legitimate,0.984,False
phishing,https://amazon-paiement.com/index.php,legitimate,0.558,False
phishing,http://sedeagencoe.click/ES,phishing,0.78,True
phishing,https://my-pntfp.icu/?secure_connect=uj2*fc*&_subid=2hk9he4.33.198jg&_token=25518fi2h2uaqd.1781365083.1.03785abb5e2c623d832763b8e3aecca8,phishing,1.0,True
phishing,https://l.ead.me/bfITk0,legitimate,0.738,False
phishing,https://l.ead.me/bgcMx0,legitimate,0.738,False
phishing,https://l.ead.me/bfF3g9,legitimate,0.849,False
phishing,https://l.ead.me/bfJXEc,legitimate,0.984,False
phishing,https://l.ead.me/bgc12K,legitimate,0.849,False
legitimate,http://pagesperso-orange.fr/nucleaire/,legitimate,0.837,True
legitimate,http://www.mastersjewel.com/,legitimate,0.824,True
legitimate,http://www.seroid.com/,legitimate,0.954,True
legitimate,http://www.clamaveruntiusti.org/,phishing,0.507,False
legitimate,http://www.azhistcemeteries.org/,legitimate,0.707,True
legitimate,http://www.princeton.edu/~aikido/,legitimate,0.893,True
legitimate,http://www.faculty.fairfield.edu/dcrawford/berber_matters.html,legitimate,0.705,True
legitimate,http://tog.acm.org/resources/GraphicsGems/,legitimate,0.909,True
legitimate,http://www.positivemeteringpump.com/,legitimate,0.635,True
legitimate,http://www.kinderkinobuero.de/,legitimate,0.936,True
legitimate,https://www.goldstarharley.com/,legitimate,0.645,True
legitimate,http://www.heterfhengelo.nl/,legitimate,0.961,True
legitimate,http://www.alarm.de/,legitimate,0.962,True
legitimate,https://de.wikipedia.org/wiki/Allg%C3%A4u,phishing,0.591,False
legitimate,https://www.puy-de-dome.cci.fr/,legitimate,0.981,True
legitimate,https://kalliope.org/da/works/wolfburg,legitimate,0.669,True
legitimate,http://www.nationalregisterofhistoricplaces.com/AR/Conway/state.html,phishing,0.541,False
legitimate,http://rsim.cs.illinois.edu/arch/qual_papers/compilers/auslander82.pdf,legitimate,0.907,True
legitimate,http://www.norberry-glenlee.ca/,legitimate,0.874,True
legitimate,http://en.wikipedia.org/wiki/Frank_Loesser,legitimate,0.932,True
